,name,lat,long
401,Odyssey Beerwerks,39.80102925,-105.0587615
402,Lonerider Brewing Company,35.90365927,-78.76254657
403,Tin Roof Brewing Company,30.43288555,-91.18884327
404,2 Towns Ciderhouse,44.56365014,-123.2260699
405,Caldera Brewing Company,42.18212723,-122.6626491
406,Greenbrier Valley Brewing Company,37.86387696,-80.39864116
407,Boxcar Brewing Company,39.96097919,-75.6010635
408,Crooked Fence Brewing Company,43.64624171,-116.2680922
409,Spiteful Brewing Company,41.97990743,-87.68026985
410,Seventh Son Brewing Company,39.98539586,-82.99930856
411,Vander Mill Ciders,42.97161203,-85.62982097
412,Pedernales Brewing Company,30.23952718,-98.86788325
413,Modern Monks Brewery,40.81517645,-96.70450117
414,Snake River Brewing Company,43.47692397,-110.7646813
415,Goodlife Brewing Co.,44.05144479,-121.3297148
416,Fearless Brewing Company,45.28759224,-122.3350291
417,Upland Brewing Company,39.79571138,-86.09857874
418,Mehana Brewing Co.,19.706312,-155.0690619
419,Hawai'i Nui Brewing Co.,19.7063322,-155.069094
420,Branchline Brewing Company,29.56149315,-98.42826743
421,Grapevine Craft Brewery,32.93278019,-97.07454728
422,Buffalo Bayou Brewing Company,29.77283861,-95.37958679
423,Texian Brewing Co.,29.61219178,-95.74355574
424,Forgotten Boardwalk,39.91210547,-74.96910567
425,Laughing Dog Brewing Company,48.30465691,-116.5418621
426,Big Storm Brewing Company,27.93679763,-82.69412238
427,Carton Brewing Company,40.41205962,-74.03804326
428,Midnight Sun Brewing Company,61.14736239,-149.8445639
429,DC Brau Brewing Company,38.92968476,-76.96014022
430,Geneva Lake Brewing Company,42.58368417,-88.41121427
431,Rochester Mills Brewing Company,42.68091542,-83.13136603
432,Cape Ann Brewing Company,42.62282807,-70.67158735
433,Borderlands Brewing Company,32.22638336,-110.9702671
434,Joseph James Brewing Company,36.03851515,-115.0302131
435,Devil's Backbone Brewing Company,37.82242131,-79.40015324
436,Wiseacre Brewing Company,35.13704267,-90.05536187
437,Infamous Brewing Company,30.40715973,-97.92593132
438,Lucky Town Brewing Company,32.31980755,-90.18848217
439,Quest Brewing Company,34.84671299,-82.34502384
440,Southampton Publick House,40.88330114,-72.39152695
441,Meckley's Cidery,42.05904659,-84.40606703
442,Finch's Beer Company,41.88627999,-87.67206145
443,Peak Organic Brewing Company,42.28071066,-83.74939784
444,Great Raft Brewing Company,32.48883732,-93.75605746
445,Alaskan Brewing Company,58.35894868,-134.4868928
446,Indeed Brewing Company,45.18936301,-93.27545409
447,Saint Archer Brewery,32.88077497,-117.1631277
448,Black Shirt Brewing Company,39.7698732,-104.9728908
449,Widmer Brothers Brewing Company,45.54121361,-122.6765037
450,Matt Brewing Company,43.10462925,-75.24549916
451,Boston Beer Company,42.31486488,-71.10313347
452,Magic Hat Brewing Company,44.42919783,-73.21348446
453,Payette Brewing Company,43.6134858,-116.2153096
454,Sockeye Brewing Company,43.62051651,-116.3384365
455,Slanted Rock Brewing Company,43.59184801,-116.366061
456,Piney River Brewing Company,37.32148885,-92.01833629
457,Cutters Brewing Company,39.76207276,-86.34558562
458,Banner Beer Company,42.40372958,-72.7464652
459,Claremont Craft Ales,34.10941781,-117.7017953
460,Rivertown Brewing Company,39.44621696,-84.39834509
461,D.L. Geary Brewing Company,43.70813946,-70.31422336
462,Pisgah Brewing Company,35.6068092,-82.35674792
463,Neshaminy Creek Brewing Company,40.08554962,-74.90179543
464,The Just Beer Project,44.45714892,-73.22043565
465,Dead Armadillo Craft Brewing,36.15569145,-95.9794811
466,La Cumbre Brewing Company,35.14891838,-106.6876159
467,The Traveler Beer Company,44.47399664,-73.21868087
468,Uncle John's Fruit House Winery,43.11282446,-84.56203684
469,Wolf Hills Brewing Company,36.71283209,-81.96435592
470,Manzanita Brewing Company,32.752194,-117.1805021
471,Four Horsemen Brewing Company,41.66830964,-86.24378767
472,Westfield River Brewing Company,42.07470718,-72.76848236
473,Wild Onion Brewing Company,42.18653702,-88.18370212
474,Hilliard's Beer,47.66477779,-122.3780255
475,Mustang Brewing Company,35.47289119,-97.60035099
476,Airways Brewing Company,47.41321408,-122.2248286
477,Pizza Port Brewing Company,33.16000282,-117.3473927
478,7venth Sun,28.0165719,-82.78943759
479,RoughTail Brewing Company,35.60885343,-97.51906181
480,Lucette Brewing Company,44.87539115,-91.93956345
481,Grey Sail Brewing of Rhode Island,41.38501093,-71.83176485
482,Swashbuckler Brewing Company,40.22727065,-76.42948166
483,Shipyard Brewing Company,43.66158859,-70.24845683
484,Alltech's Lexington Brewing Company,38.05817624,-84.48596435
485,Oskar Blues Brewery (North Carol...,35.25368339,-82.70603533
486,White Flame Brewing Company,42.86446172,-85.86980013
487,Ruhstaller Beer Company,38.5800743,-121.4967104
488,Amnesia Brewing Company,45.54965453,-122.6747323
489,Wolverine State Brewing Company,42.26946954,-83.77375969
490,Red Tank Cider Company,44.04666217,-121.2946475
491,Cascadia Ciderworks United,45.53621829,-122.6634241
492,Lazy Monk Brewing,44.81559231,-91.50788116
493,Seattle Cider Company,47.56064909,-122.3386593
494,Coastal Empire Beer Company,32.05268639,-81.12263358
